99	市场总监	金水区	2020-07-21	8k-15k	8k-15k 经验3-5年 / 本科	广告营销 分类信息 市场管理 品牌管理 团队建设	“五险+生日福利+工龄工资+旅游团建等”	电商,消费生活 / 不需要融资 / 15-50人	喜鹊到家家政服务
100	电商运营	新密市	2020-07-29	8k-16k	8k-16k 经验3-5年 / 不限	电商 天猫运营 数据分析 产品运营 品类运营	“餐补 房补”	电商 / 未融资 / 少于15人	雅琳蒂
101	淘宝天猫运营	商务内环	2020-12-06	8k-16k	8k-16k 经验不限 / 不限	电商 运营	“高额提成+年终奖”	电商 / 未融资 / 50-150人	昌熙商贸
102	app运营	商务内环	2020-09-21	6k-8k	6k-8k 经验1-3年 / 本科	运营 产品运营 用户运营 用户增长	“五险一金，大牛团队”	移动互联网,消费生活 / B轮 / 500-2000人	UU跑腿
103	期货操盘手	金水区	2020-10-19	8k-16k	8k-16k 经验不限 / 不限	操盘手 期货	“不需要盘手出资金，盘手出技术，公司出资金”	金融 / 不需要融资 / 50-150人	水木润泽投资
104	产品经理	凯旋门	2020-11-16	10k-15k	10k-15k 经验3-5年 / 大专	需求分析	“双休 五险”	不限 / 未融资 / 50-150人	晨罡集团
105	运营主管	管城回族区	2020-09-20	5k-10k	5k-10k 经验3-5年 / 本科	工具软件 移动互联网 团队建设 领导力 对外形象建立 事业部经营	“有躺赚佣金，一次努力，终身受益”	数据服务 / 未融资 / 15-50人	纸速兑
106	产品经理	高新区	2020-09-15	15k-20k	15k-20k 经验5-10年 / 本科	用户研究 项目管理 交互设计 UED	“高薪 工作时间固定 成就感 受人尊重”	教育,移动互联网 / 未融资 / 150-500人	AAA数字艺术教育
107	课程顾问	金水区	2020-10-22	10k-15k	10k-15k 经验不限 / 不限	教育 销售 电话销售 销售代表	“薪资无上限”	教育 / 未融资 / 15-50人	百越卓学教育
108	电商运营店长	中原区	2020-07-16	8k-15k	8k-15k 经验不限 / 不限	电商 运营	“此岗位可全职可兼职， 也可自主创业”	电子商务 移动互联网 / 未融资 / 15-50人	青衿网络
109	产品经理	高新区	2020-09-15	8k-13k	8k-13k 经验3-5年 / 本科	教育 移动互联网 产品策划 用户研究 需求分析 产品设计	“七险一金，带薪年假，发展空间大”	移动互联网 / 上市公司 / 500-2000人	新开普电子
110	新媒体运营	高新区	2020-11-09	4k-6k	4k-6k 经验不限 / 本科	教育 运营 用户增长	“百万级大号 出国团建 五险一金”	文娱丨内容,广告营销 / 未融资 / 少于15人	郑州旁门文化传媒有限公司
111	需求 分析师（G)	淮河路	2020-10-19	9k-13k	9k-13k 经验3-5年 / 本科	电力信息化 需求分析 原型设计	“重点项目、上市公司、双休、五险一金、交餐补”	数据服务,其他 / 上市公司 / 500-2000人	格蒂电力
112	产品经理	郑东新区	2020-09-08	9k-13k	9k-13k 经验3-5年 / 大专	产品设计	“双休 五险一金”	金融 / A轮 / 500-2000人	妙优车
113	产品经理	金水区	2020-11-26	9k-12k	9k-12k 经验3-5年 / 本科	交互设计 产品设计 流程设计 原型设计	“五险一金，有食堂，业务稳定，风口行业”	医疗丨健康 / 不需要融资 / 150-500人	美莱
114	产品经理	高新区	2020-12-08	8k-12k	8k-12k 经验3-5年 / 本科	移动互联网 需求分析 移动产品/APP 产品设计	“产品,需求分析,移动互联”	移动互联网 / 上市公司 / 500-2000人	新开普电子
115	需求分析师	郑东新区	2020-11-27	6k-12k	6k-12k 经验3-5年 / 本科	智能应用 标签库管理 SQL开发	“双休、五险、大公司”	数据服务,信息安全 / 不需要融资 / 50-150人	优炫软件河南分公司
116	电商运营经理	中原区	2020-10-10	7k-12k	7k-12k 经验3-5年 / 本科	电商 广告营销 运营 网络推广 用户增长 用户留存	“有用户基础，网络销售先行者，前景广阔”	电商,信息安全 / 未融资 / 50-150人	郑州牛犇犇网络科技有限公司
117	新媒体运营实习生/微信运营实习生	高新区	2020-12-01	2k-3k	2k-3k 经验在校/应届 / 大专	电商 编辑 内容	“成长快,传帮带,发展潜力好,扁平化”	文娱丨内容 / 未融资 / 15-50人	河南次娱网络科技有限公司
118	运营助理专员	管城回族区	2020-11-21	5k-7k	5k-7k 经验3-5年 / 本科	网站运营 网站分析 数据分析	“进步空间大”	生活服务 / 未融资 / 150-500人	谷润餐饮
119	产品经理	高新区	2020-09-14	6k-12k	6k-12k 经验3-5年 / 大专	政府项目 需求分析	“年度薪酬调整、五险、双休、节日福利”	其他 / 未融资 / 500-2000人	基正科技
120	运营经理	金水区	2020-08-24	6k-12k	6k-12k 经验5-10年 / 大专	游戏	“五险一金,员工餐,免费体检,免费下午茶”	游戏 / 未融资 / 50-150人	百易科技
121	云产品交付顾问	商务内环	2020-09-22	4k-8k	4k-8k 经验不限 / 本科	数据库	“五险一金、双休”	移动互联网,消费生活 / A轮 / 150-500人	河南悦如网络技术有限公司
122	销售经理	京广路	2020-11-17	15k-25k	15k-25k 经验1-3年 / 大专	移动互联网 汽车	“只要有能力月薪两三万不是难事”	汽车丨出行 / 未融资 / 15-50人	郑州锦沃
123	电商运营专员	二七区	2020-10-10	6k-8k	6k-8k 经验不限 / 大专	运营 产品运营 内容运营 跨境电商	“全套培训、老员工一对一指导；薪资可达15-20k”	电商 / 不需要融资 / 15-50人	博昱晟
124	销售经理	金水区	2020-08-24	7k-13k	7k-13k 经验1-3年 / 大专	销售 客户代表 商务拓展 销售代表	“氛围好，工资高”	物联网 / 未融资 / 2000人以上	海南掌上能量传媒有限公司
125	零售经理	金水区	2020-10-05	7k-10k	7k-10k 经验3-5年 / 本科	KA 营销 代理商销售 销售代表	“自然堂”	电商 / 不需要融资 / 2000人以上	伽蓝
126	java开发工程师	高新区	2020-08-13	8k-10k	8k-10k 经验3-5年 / 本科	后端	“大牛师傅,高薪,多次调薪,国际化团队”	移动互联网 / A轮 / 50-150人	learning genie
127	大数据开发工程师	祭城	2020-08-08	8k-10k	8k-10k 经验在校/应届 / 本科	移动互联网 教育	“五险一金、工作餐、图书馆、健身房等等”	教育,移动互联网 / 不需要融资 / 150-500人	校信通
128	关键词优化	中原区	2020-11-21	4k-6k	4k-6k 经验1年以下 / 大专	移动互联网 通信/网络设备 SEO 推广 SEO网站优化 SEO网络推广	“上市公司，带薪年假，福利优厚”	移动互联网,电商 / 上市公司 / 50-150人	亿恩科技
