50	数据分析师	静安区	09:22发布	14k-20k	14k-20k 经验3-5年 / 本科	房产服务 移动互联网 数据分析 用户研究	“五险一金、绩效奖金、定期体检、弹性工作”	房产家居 / A轮 / 50-150人	上海定卓
51	数据分析师	虹梅路	09:36发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析	“智能仓储机器人公司”	硬件,数据服务 / C轮 / 150-500人	快仓智能仓储
52	数据分析实习生	黄浦区	15:39发布	2k-3k	2k-3k 经验在校/应届 / 不限	数据分析 数据处理	“师徒制；弹性工作时间”	移动互联网,企业服务 / 上市公司 / 2000人以上	51JOB
53	数据分析师	长宁区	09:41发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析	“福利待遇 晋升途径”	移动互联网,教育 / A轮 / 150-500人	樊登读书
54	数据分析师	徐汇区	09:44发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析 数据运营	“挑战大,丰富内容,氛围好”	移动互联网,文娱丨内容 / A轮 / 50-150人	瑛麒动漫
55	数据分析师	虹口区	10:21发布	15k-25k	15k-25k 经验1-3年 / 本科	渠道 市场分析	“品牌资源多、福利待遇好”	移动互联网,教育 / D轮及以上 / 2000人以上	掌门1对1在线教育
56	数据分析师	潍坊	11:10发布	20k-30k	20k-30k 经验3-5年 / 本科	数据分析 商业分析	“六险一金 周末双休 带薪年假 节假日补贴”	金融,文娱丨内容 / 上市公司 / 500-2000人	上海金大师网络科技有限公司
57	数据分析师	闸北公园	09:49发布	8k-15k	8k-15k 经验1-3年 / 本科	SQL SPSS	“团队完整 公司规模大”	移动互联网,消费生活 / 上市公司 / 500-2000人	易居克而瑞
58	数据分析工程师（工业大数据）	浦东新区	19:59发布	15k-20k	15k-20k 经验3-5年 / 本科	Hadoop 机器学习 python	“13薪，班车，培训机会”	企业服务,数据服务 / 不需要融资 / 50-150人	上海金亥
59	数据分析师	洋泾	11:52发布	20k-35k	20k-35k 经验5-10年 / 本科	大数据	“业务发展上升期”	消费生活 / 上市公司 / 2000人以上	达达集团
60	数据分析师	延吉	11:44发布	25k-50k	25k-50k 经验5-10年 / 不限	电商 数据仓库	“独角兽、福利待遇优、高成长、年轻团队化”	移动互联网,电商 / B轮 / 500-2000人	得物App
61	数据分析师	中山公园	09:47发布	15k-25k	15k-25k 经验1-3年 / 本科	大数据 金融 MySQL 数据分析 数据挖掘	“AI金融 业务落地 六险一金 15天年假”	人工智能 / C轮 / 50-150人	CraiditX
62	数据分析师	碧云社区	10:28发布	20k-30k	20k-30k 经验5-10年 / 本科	数据分析	“平台稳定 有发展机会 待遇福利优厚”	移动互联网,金融 / 不需要融资 / 150-500人	证通股份
63	数据分析师(J12094)	徐汇区	19:22发布	8k-15k	8k-15k 经验1-3年 / 本科	数字化 数据分析	“重点项目”	数据服务,广告营销 / D轮及以上 / 2000人以上	明略科技集团
64	数据分析师	中山公园	09:47发布	18k-30k	18k-30k 经验3-5年 / 本科	大数据 数据挖掘	“AI金融 业务落地 15天带薪年假”	人工智能 / C轮 / 50-150人	CraiditX
65	数据分析师	长宁区	09:50发布	8k-12k	8k-12k 经验1-3年 / 本科	Python	“电商运营 公司环境好 年轻化团队”	移动互联网,电商 / 天使轮 / 150-500人	想出网络科技
66	高级数据分析师	闸北公园	09:49发布	20k-25k	20k-25k 经验5-10年 / 本科	Python	“公司规模大 氛围好 薪酬体系完善”	移动互联网,消费生活 / 上市公司 / 500-2000人	易居克而瑞
67	数据分析师	长宁区	10:03发布	15k-30k	15k-30k 经验3-5年 / 硕士	医疗健康 大数据	“五险一金,周末双休,EAP服务,核心岗位”	医疗丨健康 / C轮 / 50-150人	VHS 好人生
68	数据分析师（实习） (MJ000600)	虹口足球场	18:13发布	4k-6k	4k-6k 经验不限 / 本科	大数据 MySQL	“团队氛围好 免费晚餐”	移动互联网,文娱丨内容 / D轮及以上 / 500-2000人	虎扑
69	数据分析师	黄浦区	10:00发布	9k-13k	9k-13k 经验1-3年 / 大专	电商 广告营销 用户增长 需求分析 数据分析	“补充公积金 补充商业险 带薪年假病假”	移动互联网,广告营销 / 不需要融资 / 150-500人	西窗科技
70	数据分析师	长宁区	10:03发布	10k-15k	10k-15k 经验1-3年 / 硕士	医疗健康 大数据	“朝阳行业，核心岗位”	医疗丨健康 / C轮 / 50-150人	VHS 好人生
71	数据分析师	松江区	09:17发布	13k-20k	13k-20k 经验3-5年 / 本科	电商 数据分析 BI sql python	“五险一金 晋升空间 周末双休 绩效奖金”	电商 / C轮 / 500-2000人	云汉芯城
72	数据分析师	张江	11:51发布	9k-14k	9k-14k 经验1-3年 / 本科	教育 大数据 数据挖掘 数据分析	“免费班车,年终奖、商业补充医疗保险”	数据服务 / 不需要融资 / 15-50人	数道科技
73	数据分析师	天山路	09:41发布	10k-15k	10k-15k 经验在校/应届 / 本科	数据分析	“晋升空间大 办公环境好 福利好”	移动互联网,教育 / A轮 / 150-500人	樊登读书
74	数据分析师	金桥	11:03发布	6k-10k	6k-10k 经验不限 / 本科	Python SQL 数据分析	“前景广阔,待遇优”	数据服务,电商 / 天使轮 / 15-50人	chance
75	数据分析工程师(J11958)	闸北区	15:45发布	15k-25k	15k-25k 经验1-3年 / 本科	大数据	“一日三餐、饮料零食免费、无限年假”	游戏,社交 / B轮 / 50-150人	TapTap
76	数据分析实习生	张江	11:51发布	3k-4k	3k-4k 经验在校/应届 / 本科	大数据 数据挖掘 数据分析	“免费班车,节日福利”	数据服务 / 不需要融资 / 15-50人	数道科技
77	数据分析实习生	中山公园	11:23发布	2k-3k	2k-3k 经验在校/应届 / 本科	数据分析 增长黑客 可视化	“互联网大数据领先品牌/快速成长/转正机会”	移动互联网,数据服务 / B轮 / 150-500人	易观
78	0232PA-数据分析类	浦东新区	00:00发布	10k-18k	10k-18k 经验1年以下 / 本科	互联网金融 保险	“五险一金,带薪年假,定期体检,免费班车”	金融 / 上市公司 / 2000人以上	平安人寿
79	数据分析实习生	静安区	11:09发布	2k-3k	2k-3k 经验在校/应届 / 本科	新零售 医疗健康 数据分析	“BAT大拿；资本雄厚；弹性工时”	医疗丨健康,数据服务 / 不需要融资 / 150-500人	高济医疗
80	数据分析运营	闵行区	16:55发布	15k-25k	15k-25k 经验3-5年 / 本科	媒体 视频	“全额五险一金，MCN”	电商,文娱丨内容 / 不需要融资 / 50-150人	蕃茄蛋
81	0232MU-大数据分析师	浦东新区	00:00发布	10k-18k	10k-18k 经验1-3年 / 本科	保险 互联网金融 商业 可视化 数据分析 BI	“五险一金,定期体检,免费班车,节日福利”	金融 / 上市公司 / 2000人以上	平安人寿
82	商业数据分析师	徐家汇	18:19发布	12k-24k	12k-24k 经验3-5年 / 本科	大数据 移动互联网 SQL	“美妆护肤垂直领域”	移动互联网 / A轮 / 150-500人	美丽修行
83	数据分析/运营/产品	徐汇区	14:37发布	20k-35k	20k-35k 经验5-10年 / 本科	社交 直播 数据分析 BI 策略	“双倍加班费、餐补、下午茶、福利待遇好、氛围好”	社交 / B轮 / 500-2000人	比心陪练
84	资深数据分析师	杨浦区	04:14发布	20k-30k	20k-30k 经验3-5年 / 本科	数据分析	“弹性工作,免费三餐,租房补贴,带薪休假”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
85	数据分析师	浦东新区	00:00发布	12k-20k	12k-20k 经验3-5年 / 本科	银行 数据仓库 精准营销 数据分析 数据建模	“属于平安银行正编岗位，有行员编制”	金融 / 上市公司 / 2000人以上	平安金服
86	BI数据分析师	徐汇区	17:01发布	13k-25k	13k-25k 经验3-5年 / 本科	广告营销 大数据 Python Tablau PowerBI BI	“年度体检 免费晚餐 额外商保 带薪10天年假”	数据服务,移动互联网 / A轮 / 50-150人	驰骛科技ChiefClouds
87	CRM数据分析师	龙华	18:13发布	8k-15k	8k-15k 经验1-3年 / 本科	运营 数据分析	“专业培训,高效团队,年轻氛围”	企业服务,数据服务 / C轮 / 150-500人	数云
88	游戏数据分析师	徐汇区	19:00发布	12k-20k	12k-20k 经验在校/应届 / 本科	游戏行业	“平台大 业务高速发展”	移动互联网,游戏 / 不需要融资 / 500-2000人	阿里互动娱乐事业群
89	数据分析师-上海	静安区	17:04发布	15k-25k	15k-25k 经验5-10年 / 本科	大数据 商业 BI 可视化 数据分析	“五险一金,午餐补助,补充医疗,14薪”	数据服务 / C轮 / 500-2000人	神策数据
90	数据分析师（金融行业）	静安区	17:04发布	15k-25k	15k-25k 经验3-5年 / 本科	数据分析	“接触不同项目”	数据服务 / C轮 / 500-2000人	神策数据
91	商业数据分析师	普陀区	16:01发布	10k-18k	10k-18k 经验1-3年 / 本科	商业分析 咨询公司 数据分析 BI	“互联网文化,高速发展,极高流量”	移动互联网 / C轮 / 2000人以上	收钱吧
92	资深算法数据分析师	虹口区	17:51发布	25k-40k	25k-40k 经验5-10年 / 本科	深度学习 数据挖掘 Python 数据建模	“技术open，领导nice，氛围轻松”	移动互联网 / D轮及以上 / 500-2000人	百布
93	高级大数据分析师	外滩	17:48发布	20k-35k	20k-35k 经验3-5年 / 本科	电商 大数据	“绩效奖金、 带薪年假、午餐补助、岗位晋升”	电商,消费生活 / 不需要融资 / 500-2000人	百联全渠道电商
94	数据分析	嘉定区	09:44发布	10k-20k	10k-20k 经验1-3年 / 本科	物流 SQL BI	“领导nice 大厂”	物流丨运输 / A轮 / 2000人以上	京东物流
95	BI数据分析师	虹梅路	15:20发布	13k-25k	13k-25k 经验3-5年 / 本科	电商 新零售 数据库 可视化 数据分析 SQL	“年度体检免费晚餐额外商保带薪10天年假”	数据服务,移动互联网 / A轮 / 50-150人	驰骛科技ChiefClouds
96	广告-数据分析师	虹桥	17:23发布	20k-40k	20k-40k 经验3-5年 / 本科	数据挖掘	“行业领跑,大牛同事,成长挑战大,简单文化”	文娱丨内容 / 上市公司 / 2000人以上	爱奇艺
97	数据分析实习生	闵行区	04:12发布	3k-6k	3k-6k 经验在校/应届 / 本科	数据分析	“免费三餐,健身瑜伽,扁平管理,用户过亿”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
98	数据分析师（算法方向）	浦东新区	16:43发布	25k-50k	25k-50k 经验3-5年 / 本科	大数据 金融 Spark Hive	“福利待遇优厚，发展前景广阔”	金融 / 上市公司 / 2000人以上	平安金服
99	数据分析 (MJ000137)	万源城	14:33发布	15k-30k	15k-30k 经验3-5年 / 本科	游戏 数据分析	“大数据分析 千万级DAU项目 大平台”	游戏 / 不需要融资 / 500-2000人	沐瞳游戏
100	资深数据分析-SH	徐汇区	14:36发布	15k-30k	15k-30k 经验3-5年 / 本科	广告营销 大数据 Python SQL	“氛围好；平台好；公司发展快”	移动互联网,广告营销 / D轮及以上 / 150-500人	深演智能
101	数据分析师（新客运营中心）	东方路	15:08发布	15k-25k	15k-25k 经验3-5年 / 本科	互联网金融 分析师	“弹性工作制 奖金丰厚 团队氛围好 团建多”	金融 / 上市公司 / 500-2000人	上海嘉银金融科技股份有限公司
102	数据分析经理	闵行区	16:24发布	35k-50k	35k-50k 经验5-10年 / 本科	Hive Python 数据分析 商业化	“美股上市 超长年假 大牛云集 核心团队”	移动互联网,数据服务 / 上市公司 / 500-2000人	触宝
103	数据分析师BI	虹梅路	13:53发布	12k-18k	12k-18k 经验3-5年 / 本科	电商 移动互联网 数据仓库 MySQL	“发展空间大”	教育,游戏 / B轮 / 2000人以上	快乐种子
104	（问卷网）数据分析师	徐汇区	15:21发布	7k-14k	7k-14k 经验1-3年 / 本科	Tableau 业务数据模型 用户行为数据 数据平台建设	“提升 团队氛围nice 发展空间”	移动互联网 / C轮 / 150-500人	问卷网@爱调研
105	BA数据分析实习生（可留用）	静安区	16:10发布	2k-3k	2k-3k 经验不限 / 本科	广告营销 数据库 数据分析 SPSS SQL	“500强外资 CRM agcney”	广告营销,数据服务 / 不需要融资 / 2000人以上	arvato China
106	电商数据分析顾问Consultant	龙华	11:29发布	8k-13k	8k-13k 经验1-3年 / 本科	电商 数字营销	“互联网电商+大数据分析（非技术岗）”	数据服务 / 不需要融资 / 150-500人	联蔚数据
107	大数据分析顾问	浦东新区	15:36发布	10k-20k	10k-20k 经验1-3年 / 本科	大数据 工具软件 数据仓库 数仓建模 Python 数据挖掘	“五险一金、补充医疗、带薪假期、专业团队”	数据服务,软件开发 / 未融资 / 15-50人	蓝幸软件
108	车联网数据分析	杨浦区	13:13发布	15k-28k	15k-28k 经验不限 / 本科	数据挖掘 数学 机器学习	“发展空间大、灵活办公”	数据服务,移动互联网 / 未融资 / 15-50人	ExceedData
109	数据分析师（新客运营中心）	东方路	15:08发布	20k-30k	20k-30k 经验3-5年 / 本科	商业分析师 信贷数据分析师 数据分析师	“弹性工作制 奖金丰厚 领导NICE 上市公司”	金融 / 上市公司 / 500-2000人	上海嘉银金融科技股份有限公司
110	数据分析开发工程师（数据挖掘/分析方向）	闵行区	14:17发布	25k-40k	25k-40k 经验3-5年 / 本科	数据挖掘 数据分析	“独角兽 大牛云集 临近地铁 多次调薪”	汽车丨出行 / D轮及以上 / 2000人以上	途虎养车网
111	高级数据分析 (MJ000029)	南方商城	14:17发布	20k-40k	20k-40k 经验5-10年 / 本科	商业 数据分析	“管理完善,福利好,E轮融资,千人规模”	汽车丨出行 / D轮及以上 / 2000人以上	途虎养车网
112	数据分析师	新天地	2020-12-17	15k-25k	15k-25k 经验1-3年 / 本科	移动互联网 数据架构	“互联网公司 待遇福利好”	消费生活 / D轮及以上 / 500-2000人	小红书
113	数据分析师	新天地	2020-12-17	15k-25k	15k-25k 经验1-3年 / 本科	移动互联网	“互联网公司，待遇福利好”	消费生活 / D轮及以上 / 500-2000人	小红书
114	bi数据分析师	徐汇区	16:08发布	10k-15k	10k-15k 经验1-3年 / 本科	MySQL SQLServer Oracle	“节日福利 带薪年假”	移动互联网,金融 / 不需要融资 / 50-150人	上海尤恩
115	BI数据分析师	漕河泾	13:06发布	10k-15k	10k-15k 经验1-3年 / 本科	数据分析	“晋升清晰 发展潜力大 老板好 团队好”	移动互联网,社交 / 不需要融资 / 50-150人	小葫芦
116	数据分析（实习生）	杨浦区	17:01发布	2k-4k	2k-4k 经验在校/应届 / 本科	数据分析 实习	“交通便利 调薪晋升 福利好”	移动互联网 / A轮 / 50-150人	上海众调科技
117	游戏数据分析	五里桥	11:20发布	8k-16k	8k-16k 经验1-3年 / 本科	游戏 移动互联网 数据分析 游戏运营	“项目前景好,集团公司,工作氛围轻”	移动互联网,游戏 / 上市公司 / 2000人以上	分众游戏
118	大数据分析师	青浦区	10:29发布	9k-18k	9k-18k 经验1-3年 / 本科	大数据 数据分析	“优秀团队、绩效奖金、福利津贴、定期体检”	数据服务,移动互联网 / B轮 / 50-150人	算话智能科技有限公司
119	bi数据分析师	黄浦区	11:26发布	15k-25k	15k-25k 经验5-10年 / 本科	金融 保险 Python SQL Tableau Power BI	“发展前景好，大牛云集”	金融 / 上市公司 / 2000人以上	众安保险
